777	1	1	[Páginas 1 a 6 se perdieron]
777	1	2	``Será destruida la materia?''
777	1	3	El Salvador dijo:
777	1	4	``Toda forma de la naturaleza, cada criatura, existe una en la otra, pero cada una se disolverá en su propia raíz, porque la naturaleza de la materia es que se desintegra en cosas de su naturaleza. El que tenga oído para oír, oiga''.
777	1	5	Pedro le dijo: ``Como nos has dicho todo acerca de la materia, dinos esto: ¿cuál es el pecado de el mundo?''
777	1	6	El Salvador respondió:
777	1	7	“No hay pecado de el mundo. Eres tú quien hace existir el pecado cuando haces cosas como el adulterio.
777	1	8	Esto es lo que llamamos pecado.
777	1	9	Por eso el Señor viene en medio de ustedes,
777	1	10	para restaurar la naturaleza dentro de las  raíces”.
777	1	11	Luego continuó:
777	1	12	“Por eso te enfermas y por eso mueres,
777	1	13	porque amas lo que te engaña.
777	1	14	El que tenga oído para oír, oiga.
777	1	15	La materia dio lugar a una pasión
777	1	16	que no estaba en la imagen original,
777	1	17	que vino de algo contra natura.
777	1	18	A partir de ahí,
777	1	19	una perturbación se apodera del cuerpo.
777	1	20	Por eso digo:
777	1	21	conténtate de corazón y si estás descontento,
777	1	22	conténtate en la presencia de la naturaleza.
777	1	23	El que tenga oído para oír, oiga''.
777	1	24	Cuando el Bienaventurado terminó de hablar, los saludó y dijo:
777	1	25	“Paz a ustedes,
777	1	26	y que mi paz sea adquirida dentro de ustedes.
777	1	27	Ten cuidado.
777	1	28	Que nadie te engañe diciendo:
777	1	29	Mira, aquí en esta dirección!' o 'Mira, aquí en este lugar!'.
777	1	30	El Hijo del Hombre existe dentro de ti.
777	1	31	Los que le buscan, le encuentran.
777	1	32	Ve, pues, y difunda el Evangelio del Reino.
777	1	33	No impongas más reglas sino las que te he dicho,
777	1	34	ni des leyes como el legislador,
777	1	35	para que no te aten a ellas''.
777	2	36	Cuando dijo estas cosas, fue, y la gente comenzó a llorar:
777	2	37	``Cómo subiremos a los gentiles y predicarles el evangelio de el Reino de el Hijo de el Hombre? Si no lo perdonaron, cómo nos van a perdonar?''.
777	2	38	Entonces María se levantó y dijo a sus hermanos:
777	2	39	“No lloren ni aflijan, ni romper vuestros corazones, porque Su Gracia estará con ustedes. Te protegerá. Más bien, alabemos Su grandeza, porque Él nos ha preparado y nos ha hecho humanos.”
777	2	40	Cuando María dijo estas cosas, volvió sus corazones hacia el Señor y comenzaron a hablar de las palabras del Salvador.
777	2	41	Pedro le dijo a María:
777	2	42	``Hermana, sabemos que el Salvador te amó más que a todas las mujeres. Dinos de algunas palabras del Salvador que recuerdas que nosotros mismos aún no hayamos escuchado''.
777	2	43	Entonces María dijo:
777	2	44	``Les diré lo que estaba oculto de ustedes.
777	2	45	Vi al Señor en una visión y le dije:
777	2	46	Señor, puedo verte en esta visión'.
777	2	47	Él respondió:
777	2	48	Eres bendecida porque no te intimidas al verme;
777	2	49	Allí donde está la mente está el tesoro.'
777	2	50	Le dije a él:
777	2	51	Señor, cuando alguien tiene una visión, la ve a través del alma o del espíritu?'''
777	2	52	El Salvador respondió:
